,Respondents,Assessments,N of Assessments,Last Assessment
0,1893,['IAT'],1,IAT
1,1893,"['IAT', 'CIS_P']",2,CIS_P
2,1893,"['IAT', 'CIS_P', 'WHODAS_SR']",3,WHODAS_SR
3,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P']",4,WHODAS_P
4,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT']",5,PCIAT
5,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos']",6,Basic_Demos
6,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR']",7,CIS_SR
7,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx']",8,PreInt_DevHx
8,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx']",9,PreInt_EduHx
9,1893,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P']",10,SCARED_P
10,1892,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores']",11,NIH_Scores
11,1891,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ']",12,SCQ
12,1890,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P']",13,ICU_P
13,1887,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ']",14,ASSQ
14,1884,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck']",15,SympChck
15,1881,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P']",16,ARI_P
16,1881,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS']",17,DTS
17,1878,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P']",18,MFQ_P
18,1874,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN']",19,ESWAN
19,1874,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN']",20,SWAN
20,1865,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt']",21,Barratt
21,1845,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL']",22,CBCL
22,1844,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS']",23,SRS
23,1842,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ']",24,SDQ
24,1762,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS']",25,RBS
25,1682,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P']",26,APQ_P
26,1665,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR']",27,APQ_SR
27,1630,"['IAT', 'CIS_P', 'WHODAS_SR', 'WHODAS_P', 'PCIAT', 'Basic_Demos', 'CIS_SR', 'PreInt_DevHx', 'PreInt_EduHx', 'SCARED_P', 'NIH_Scores', 'SCQ', 'ICU_P', 'ASSQ', 'SympChck', 'ARI_P', 'DTS', 'MFQ_P', 'ESWAN', 'SWAN', 'Barratt', 'CBCL', 'SRS', 'SDQ', 'RBS', 'APQ_P', 'APQ_SR', 'PhenX_Neighborhood']",28,PhenX_Neighborhood
